0,20000,3861.538462,4153.846154,4338.461538,4461.538462,4569.230769
20000,30000,6815.384615,7338.461538,7661.538462,7892.307692,8076.923077
30000,40000,8430.769231,9061.538462,9446.153846,9738.461538,9969.230769
40000,50000,9846.153846,10584.61538,11046.15385,11384.61538,11646.15385
50000,60000,11138.46154,11984.61538,12492.30769,12876.92308,13184.61538
60000,70000,12353.84615,13276.92308,13846.15385,14276.92308,14615.38462
70000,80000,13507.69231,14523.07692,15153.84615,15615.38462,15984.61538
80000,90000,14584.61538,15692.30769,16369.23077,16861.53846,17261.53846
90000,100000,15630.76923,16800,17538.46154,18076.92308,18492.30769
100000,120000,17015.38462,18292.30769,19092.30769,19676.92308,20138.46154
120000,140000,18953.84615,20369.23077,21261.53846,21907.69231,22415.38462
140000,160000,20661.53846,22215.38462,23169.23077,23876.92308,24446.15385
160000,180000,22400,24076.92308,25107.69231,25876.92308,26492.30769
180000,200000,23969.23077,25769.23077,26876.92308,27707.69231,28353.84615
200000,99999999999999900000000.00,32061.53846,34461.53846,35953.84615,37046.15385,37907.69231
