98001,10,25,10,10,50,25,10,15,38
98002,10,25,10,10,50,25,10,15,38
98003,10,25,10,10,50,25,5,8,38
98003,10,25,5,5,5,5,5,8,38
98004,25,50,50,50,25,25,50,75,75
98005,25,50,50,50,25,25,50,75,75
98006,25,50,50,50,25,25,50,75,75
98007,25,50,50,50,25,25,50,75,75
98008,25,50,50,50,25,25,25,38,75
98010,10,10,10,10,5,10,10,15,15
98011,25,50,25,25,10,25,50,75,75
98012,10,25,10,10,5,10,50,75,38
98014,5,5,25,25,5,10,25,38,8
98019,5,5,5,5,5,5,5,8,8
98019,5,5,25,25,5,10,25,38,8
98020,10,10,10,10,5,25,5,8,15
98020,5,5,5,5,5,5,5,8,8
98021,10,50,10,10,5,25,50,75,75
98021,10,5,10,10,5,25,5,8,8
98021,5,5,5,5,5,5,50,75,8
98022,10,10,5,5,5,5,5,8,15
98022,5,5,5,5,5,5,5,8,8
98023,10,25,10,10,25,10,5,8,38
98024,5,25,10,10,5,10,10,15,38
98025,5,25,10,10,5,10,10,15,38
98026,10,10,10,10,5,25,5,8,15
98026,5,5,5,5,5,5,5,8,8
98027,10,50,25,25,10,25,25,38,75
98027,25,50,50,50,5,25,5,8,75
98028,25,50,10,10,10,25,50,75,75
98029,10,25,25,25,10,25,25,38,38
98031,25,50,10,10,50,25,25,38,75
98032,25,50,10,10,50,25,25,38,75
98032,5,5,10,10,25,25,5,8,8
98033,25,50,50,50,10,25,50,75,75
98034,25,50,25,25,10,25,50,75,75
98036,10,10,10,10,5,25,50,75,15
98036,5,5,5,5,5,5,5,8,8
98037,10,10,10,10,5,10,25,38,15
98038,10,25,25,25,10,10,25,38,38
98039,25,50,50,50,25,25,50,75,75
98040,25,50,50,50,25,25,50,75,75
98042,25,25,10,10,50,25,25,38,38
98043,10,10,10,10,5,25,10,15,15
98043,5,5,5,5,5,5,5,8,8
98045,5,5,10,10,5,5,5,8,8
98047,10,25,10,10,50,10,5,8,38
98051,5,10,10,10,5,5,10,15,15
98052,10,50,50,50,10,25,50,75,75
98053,10,25,25,25,10,25,25,38,38
98055,25,50,10,10,50,25,25,38,75
98056,25,50,50,50,50,25,25,38,75
98058,25,50,25,25,50,25,25,38,75
98059,25,50,50,50,50,25,50,75,75
98065,5,5,10,10,5,5,10,15,8
98068,5,5,5,5,5,5,5,8,8
98070,25,5,5,5,5,25,5,8,8
98072,10,25,10,10,5,25,50,75,38
98072,10,25,25,25,10,25,50,75,38
98092,10,25,10,10,50,10,10,15,38
98092,10,25,5,5,5,5,5,8,38
98101,50,10,25,25,10,5,5,8,15
98102,50,10,25,25,25,5,5,8,15
98103,50,10,25,25,10,10,5,8,15
98104,50,10,25,25,10,5,5,8,15
98105,25,10,50,50,25,10,10,15,15
98106,50,10,25,25,25,10,5,8,15
98107,50,10,25,25,10,5,5,8,15
98108,50,10,25,25,50,10,10,15,15
98109,50,10,25,25,10,5,5,8,15
98110,25,10,5,5,5,25,5,8,15
98112,50,50,50,50,25,10,10,15,75
98115,25,10,25,25,10,10,10,15,15
98116,50,10,25,25,10,10,5,8,15
98117,50,10,25,25,10,10,5,8,15
98118,25,50,25,25,50,10,25,38,75
98119,50,10,25,25,10,5,5,8,15
98121,50,10,25,25,10,5,5,8,15
98122,50,50,25,25,25,5,10,15,75
98125,25,10,25,25,10,10,10,15,15
98126,50,10,25,25,25,10,5,8,15
98133,50,10,25,25,10,25,5,8,15
98134,50,10,25,25,25,5,5,8,15
98134,50,10,25,25,25,5,5,8,15
98136,50,10,25,25,10,10,5,8,15
98144,50,50,50,50,25,5,10,15,75
98146,50,10,25,25,25,10,5,8,15
98148,25,50,10,10,25,25,10,15,75
98154,5,10,5,5,10,5,5,8,15
98155,25,10,10,10,10,25,10,15,15
98164,5,25,5,5,10,5,5,8,38
98166,25,10,10,10,25,25,5,8,15
98168,50,50,25,25,50,10,10,15,75
98174,5,10,5,5,10,5,5,8,15
98177,5,5,5,5,5,5,5,8,8
98177,25,10,25,25,10,25,5,8,15
98178,25,50,10,10,50,10,25,38,75
98188,25,50,10,10,50,25,25,38,75
98198,25,50,10,10,50,25,10,15,75
98199,50,10,25,25,10,10,5,8,15
98201,10,5,5,5,5,5,25,38,8
98203,10,5,10,10,5,5,25,38,8
98204,10,10,10,10,5,10,25,38,15
98205,10,5,5,5,5,5,25,38,8
98205,10,5,5,5,5,5,10,15,8
98205,10,5,5,5,5,5,10,15,8
98205,5,5,5,5,5,5,5,8,8
98205,10,5,5,5,5,5,25,38,8
98208,10,25,10,10,5,10,25,38,38
98223,5,5,5,5,5,5,5,8,8
98224,5,5,5,5,5,5,5,8,8
98224,5,5,5,5,5,5,5,8,8
98238,5,5,5,5,5,5,5,8,8
98241,5,5,5,5,5,5,5,8,8
98251,5,5,5,5,5,5,5,8,8
98251,5,5,5,5,5,5,5,8,8
98252,5,5,5,5,5,5,5,8,8
98256,5,5,5,5,5,5,5,8,8
98256,5,5,5,5,5,5,5,8,8
98258,5,5,5,5,5,5,10,15,8
98267,5,5,5,5,5,5,5,8,8
98270,5,5,5,5,5,5,10,15,8
98270,5,5,5,5,5,5,5,8,8
98271,5,5,5,5,5,5,5,8,8
98271,10,5,5,5,5,5,5,8,8
98272,5,5,10,10,5,5,25,38,8
98272,5,5,5,5,5,5,5,8,8
98273,5,5,5,5,5,5,5,8,8
98274,5,5,5,5,5,5,5,8,8
98275,10,5,10,10,5,10,25,38,8
98288,5,5,5,5,5,5,5,8,8
98288,5,5,5,5,5,5,5,8,8
98290,5,5,5,5,5,5,25,38,8
98290,5,5,5,5,5,5,5,8,8
98290,5,5,5,5,5,5,5,8,8
98292,5,5,5,5,5,5,5,8,8
98292,5,5,5,5,5,5,5,8,8
98294,5,5,5,5,5,5,10,15,8
98294,5,5,5,5,5,5,5,8,8
98296,10,10,10,10,5,10,50,75,15
98296,10,25,10,10,5,10,10,15,38
98296,5,5,5,5,5,5,5,8,8
98303,5,5,5,5,5,5,5,8,8
98303,5,5,5,5,5,5,5,8,8
98304,5,5,5,5,5,5,5,8,8
98310,10,5,5,5,5,10,5,8,8
98311,10,5,5,5,5,5,5,8,8
98312,5,5,5,5,5,5,5,8,8
98315,5,5,5,5,5,5,5,8,8
98321,10,5,5,5,5,5,5,8,8
98321,10,10,5,5,25,5,5,8,15
98323,5,5,5,5,5,5,5,8,8
98327,5,5,5,5,5,5,5,8,8
98328,5,5,5,5,5,5,5,8,8
98329,5,5,5,5,5,5,5,8,8
98329,5,5,5,5,5,5,5,8,8
98330,5,5,5,5,5,5,5,8,8
98332,5,5,5,5,5,5,5,8,8
98332,10,5,5,5,5,10,5,8,8
98333,5,5,5,5,5,5,5,8,8
98335,10,5,5,5,5,10,5,8,8
98335,5,5,5,5,5,5,5,8,8
98337,10,5,5,5,5,5,5,8,8
98338,5,5,5,5,10,5,5,8,8
98340,5,5,5,5,5,5,5,8,8
98342,25,5,5,5,5,25,5,8,8
98345,10,5,5,5,5,5,5,8,8
98346,10,5,5,5,5,10,5,8,8
98349,5,5,5,5,5,5,5,8,8
98349,5,5,5,5,5,5,5,8,8
98351,5,5,5,5,5,5,5,8,8
98353,5,5,5,5,5,5,5,8,8
98354,10,25,5,5,5,5,5,8,38
98354,10,25,5,5,25,10,5,8,38
98355,5,5,5,5,5,5,5,8,8
98359,10,5,5,5,5,10,5,8,8
98359,5,5,5,5,5,5,5,8,8
98360,10,5,5,5,25,5,5,8,8
98364,5,5,5,5,5,5,5,8,8
98366,25,10,5,5,5,10,5,8,15
98367,10,5,5,5,5,10,5,8,8
98370,10,5,5,5,5,5,5,8,8
98371,10,25,5,5,50,10,5,8,38
98371,10,10,5,5,50,10,5,8,15
98372,10,25,5,5,5,5,5,8,38
98372,10,25,5,5,50,10,5,8,38
98372,10,10,5,5,50,10,5,8,15
98373,10,10,5,5,50,10,5,8,15
98374,10,10,5,5,50,10,5,8,15
98374,5,5,5,5,5,5,5,8,8
98375,10,10,5,5,50,10,5,8,15
98380,5,5,5,5,5,5,5,8,8
98383,5,5,5,5,5,5,5,8,8
98385,5,5,5,5,5,5,5,8,8
98387,5,5,5,5,10,5,5,8,8
98388,5,5,5,5,5,5,5,8,8
98388,5,5,5,5,5,5,5,8,8
98390,10,25,5,5,50,5,5,8,38
98390,10,10,5,5,50,10,5,8,15
98392,10,5,5,5,5,25,5,8,8
98394,5,5,5,5,5,5,5,8,8
98394,5,5,5,5,5,5,5,8,8
98396,5,5,5,5,5,5,5,8,8
98402,10,10,5,5,10,10,5,8,15
98403,10,10,5,5,10,10,5,8,15
98404,10,10,5,5,25,10,5,8,15
98405,10,10,5,5,10,10,5,8,15
98406,10,10,5,5,10,10,5,8,15
98407,10,10,5,5,10,10,5,8,15
98408,10,10,5,5,10,10,5,8,15
98409,10,10,5,5,10,10,5,8,15
98421,10,25,5,5,25,10,5,8,38
98421,10,10,5,5,10,10,5,8,15
98422,10,25,5,5,5,10,5,8,38
98422,10,25,5,5,25,10,5,8,38
98424,10,25,5,5,25,10,5,8,38
98433,5,5,5,5,5,5,5,8,8
98439,5,10,5,5,10,5,5,8,15
98443,10,10,5,5,25,10,5,8,15
98444,5,10,5,5,10,10,5,8,15
98445,10,10,5,5,25,10,5,8,15
98446,10,10,5,5,25,10,5,8,15
98465,10,10,5,5,10,10,5,8,15
98466,10,10,5,5,10,10,5,8,15
98467,10,10,5,5,10,5,5,8,15
98498,5,5,5,5,10,5,5,8,8
98499,10,10,5,5,10,5,5,8,15
98513,5,5,5,5,5,5,5,8,8
98528,5,5,5,5,5,5,5,8,8
98528,5,5,5,5,5,5,5,8,8
98580,5,5,5,5,5,5,5,8,8
98597,5,5,5,5,5,5,5,8,8
98816,5,5,5,5,5,5,5,8,8
98826,5,5,5,5,5,5,5,8,8
98826,5,5,5,5,5,5,5,8,8
98922,5,5,5,5,5,5,5,8,8
98925,5,5,5,5,5,5,5,8,8
98937,5,5,5,5,5,5,5,8,8
98940,5,5,5,5,5,5,5,8,8
